               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  90,             0.02744,            0.035707,           0.0020413,             0.72465,             0.61449,             0.65527,             0.39289,            0.047804,            0.061761,           0.0046407,            0.004126,            0.004126,            0.004126
                  91,            0.027316,            0.035388,           0.0020152,             0.72394,             0.63816,             0.65336,             0.39453,            0.048114,            0.061766,           0.0047324,             0.00406,             0.00406,             0.00406
                  92,             0.02743,            0.035858,           0.0020007,             0.73603,             0.61033,             0.65363,              0.3932,            0.046962,            0.063223,           0.0044801,            0.003994,            0.003994,            0.003994
                  93,            0.027113,            0.036249,            0.001945,              0.7109,             0.62179,             0.66224,             0.39541,             0.04781,            0.061777,           0.0047397,            0.003928,            0.003928,            0.003928
                  94,            0.027351,            0.035161,           0.0019817,             0.77086,             0.59898,             0.65927,             0.39219,            0.048367,            0.062849,           0.0048869,            0.003862,            0.003862,            0.003862
                  95,            0.026896,             0.03412,           0.0019179,             0.74888,             0.58991,              0.6481,             0.38897,            0.047956,            0.064585,           0.0046138,            0.003796,            0.003796,            0.003796
                  96,            0.026931,            0.034717,           0.0019669,             0.73513,             0.61306,             0.65974,             0.39588,            0.047584,            0.062285,           0.0048769,             0.00373,             0.00373,             0.00373
                  97,            0.026928,            0.035218,           0.0019022,             0.71873,             0.62282,             0.64707,              0.3901,            0.047958,            0.063734,           0.0047083,            0.003664,            0.003664,            0.003664
                  98,            0.026678,            0.033634,           0.0019953,             0.75718,             0.59861,              0.6543,             0.39315,            0.048387,            0.063843,           0.0047738,            0.003598,            0.003598,            0.003598
                  99,            0.026363,            0.034201,           0.0019062,             0.74235,             0.62768,             0.66064,             0.39673,            0.048009,            0.064026,           0.0049192,            0.003532,            0.003532,            0.003532
                 100,            0.026418,            0.034231,           0.0020422,             0.76791,             0.59994,             0.66834,             0.40074,            0.048063,            0.063327,           0.0049117,            0.003466,            0.003466,            0.003466
                 101,            0.026673,            0.034367,           0.0019597,             0.74824,              0.6239,             0.66196,             0.40057,            0.047858,            0.061942,           0.0045974,              0.0034,              0.0034,              0.0034
                 102,            0.026103,            0.033266,           0.0018375,             0.72885,             0.62182,              0.6586,             0.39686,            0.047666,            0.063658,           0.0048801,            0.003334,            0.003334,            0.003334
                 103,            0.025949,            0.035311,           0.0019357,             0.75612,             0.59084,             0.66053,             0.40168,            0.047357,            0.064092,           0.0047428,            0.003268,            0.003268,            0.003268
                 104,            0.025899,            0.033464,           0.0018606,             0.76816,             0.62408,             0.66943,             0.40442,            0.047506,            0.063281,           0.0052816,            0.003202,            0.003202,            0.003202
                 105,            0.025837,             0.03317,           0.0018749,             0.72861,             0.63519,             0.66592,             0.39987,            0.047315,            0.062099,           0.0048823,            0.003136,            0.003136,            0.003136
                 106,              0.0258,             0.03372,            0.001886,             0.73454,             0.62756,             0.66864,             0.40406,            0.046955,            0.063089,           0.0048221,             0.00307,             0.00307,             0.00307
                 107,            0.025372,            0.032683,           0.0019042,             0.71417,             0.61894,             0.66125,             0.40006,            0.047117,            0.063523,           0.0047257,            0.003004,            0.003004,            0.003004
                 108,            0.025577,            0.033645,           0.0018758,             0.71657,             0.62687,             0.65914,             0.39935,             0.04714,            0.063669,           0.0047258,            0.002938,            0.002938,            0.002938
                 109,            0.025158,            0.033154,           0.0018702,               0.747,             0.61713,              0.6656,             0.40434,            0.046996,            0.064088,           0.0047229,            0.002872,            0.002872,            0.002872
                 110,            0.025602,            0.033356,           0.0018957,             0.73348,             0.62781,             0.66665,             0.40679,            0.046844,            0.063736,           0.0047446,            0.002806,            0.002806,            0.002806
                 111,            0.025394,            0.033399,            0.001887,             0.75155,             0.60643,             0.66124,             0.40236,            0.047318,             0.06603,           0.0048227,             0.00274,             0.00274,             0.00274
                 112,            0.025184,             0.03324,           0.0018179,             0.75533,             0.60705,             0.65888,             0.40336,            0.047102,            0.065682,           0.0047595,            0.002674,            0.002674,            0.002674
                 113,            0.025165,            0.032713,           0.0017936,              0.7545,             0.59464,             0.65779,              0.4026,            0.046998,            0.065734,           0.0046388,            0.002608,            0.002608,            0.002608
                 114,            0.024657,            0.032291,           0.0017608,             0.69639,               0.623,             0.65966,             0.40087,            0.047239,            0.065913,           0.0043912,            0.002542,            0.002542,            0.002542
                 115,            0.024938,            0.032183,           0.0018501,             0.75081,              0.6192,             0.66592,             0.40375,            0.047031,            0.066015,           0.0043026,            0.002476,            0.002476,            0.002476
